param x1 := 1	7.0
2	7.0
3	7.0
4	7.0
5	7.0
6	 7.0
7	 7.0
8	 7.0
9	 7.0
10	 7.0
11	 7.0
12	 7.0
13	 7.0
14	 7.0
15	 7.0
16	 7.0
17	 7.0
18	 7.0
19	 7.0
20	 7.0
21	 7.0
22	 7.0
23	 7.0
24	 7.0
25	 7.0
26	 7.0
27	 7.0
28	 7.0
29	 7.0
30	 7.0
31	 7.0
32	 7.0
33	 7.0
34	 7.0
35	 7.0
36	 7.0
37	 7.0
38	 7.0
39	 7.0
40	 7.0
41	 7.0
42	 7.0
43	 7.0
44	 7.0
45	 7.0
46	 7.0
47	 7.0
48	 7.0
49	 7.0
50	 7.0
51	 7.0
52	 7.0
53	 7.0
54	 7.0
55	 7.0
56	 7.0
57	 7.0
58	 7.0
59	 7.0
60	 7.0
61	 7.0
62	 7.0
63	 7.0
64	 7.0
65	 7.0
66	 7.0
67	 7.0
68	 7.0
69	 7.0
70	 7.0
;

param x2 := 1	 14.0
2	 14.0
3	 14.0
4	 14.0
5	 14.0
6	 14.0
7	 14.0
8	 14.0
9	 14.0
10	 14.0
11	 14.0
12	 14.0
13	 14.0
14	 14.0
15	 14.0
16	 14.0
17	 14.0
18	 14.0
19	 14.0
20	 14.0
21	 14.0
22	 14.0
23	 14.0
24	 14.0
25	 14.0
26	 14.0
27	 14.0
28	 14.0
29	 14.0
30	 14.0
31	 14.0
32	 14.0
33	 14.0
34	 14.0
35	 14.0
36	 14.0
37	 14.0
38	 14.0
39	 14.0
40	 14.0
41	 14.0
42	 14.0
43	 14.0
44	 14.0
45	 14.0
46	 14.0
47	 14.0
48	 14.0
49	 14.0
50	 14.0
51	 14.0
52	 14.0
53	 14.0
54	 14.0
55	 14.0
56	 14.0
57	 14.0
58	 14.0
59	 14.0
60	 14.0
61	 14.0
62	 14.0
63	 14.0
64	 14.0
65	 14.0
;
param x3 :=1	 17.0
2	 17.0
3	 17.0
4	 13.0
5	 13.0
6	 17.0
7	 17.0
8	 17.0
9	 17.0
10	 17.0
11	 13.0
12	 13.0
13	 13.0
14	 17.0
15	 17.0
16	 17.0
17	 17.0
18	 17.0
19	 13.0
20	 13.0
21	 13.0
22	 13.0
23	 17.0
24	 17.0
25	 17.0
26	 17.0
27	 17.0
28	 13.0
29	 13.0
30	 13.0
31	 13.0
32	 15.0
33	 15.0
34	 15.0
35	 15.0
36	 15.0
37	 11.0
38	 11.0
39	 11.0
40	 11.0
41	 15.0
42	 15.0
43	 15.0
44	 15.0
45	 15.0
46	 11.0
47	 11.0
48	 11.0
49	 11.0
50	 15.0
51	 15.0
52	 15.0
53	 15.0
54	 15.0
55	 11.0
56	 11.0
57	 11.0
58	 11.0
59	 15.0
60	 11.0
61	 11.0
62	 11.0
63	 11.0
64	 11.0
65	 11.0
66	 11.0
67	 11.0
;


param x4 :=1	 8.0
2	 8.0
3	 8.0
4	 8.0
5	 8.0
6	 8.0
7	 8.0
8	 8.0
9	 8.0
10	 8.0
11	 8.0
12	 8.0
13	 8.0
14	 8.0
15	 8.0
16	 8.0
17	 8.0
18	 8.0
19	 8.0
20	 8.0
21	 8.0
22	 8.0
23	 8.0
24	 8.0
25	 8.0
26	 8.0
27	 8.0
28	 8.0
29	 8.0
30	 9.0
31	 9.0
32	 9.0
33	 9.0
34	 9.0
35	 9.0
36	 9.0
37	 9.0
38	 9.0
39	 9.0
40	 9.0
41	 9.0
42	 9.0
43	 9.0
44	 9.0
45	 9.0
46	 9.0
47	 9.0
48	 9.0
49	 9.0
50	 9.0
51	 9.0
52	 9.0
53	 9.0
54	 9.0
55	 9.0
56	 9.0
57	 9.0
58	 9.0
59	 9.0
60	 9.0
61	 9.0
62	 9.0
63	 9.0
64	 9.0
65	 9.0
66	 9.0
67	 9.0
68	 9.0
69	 9.0
70	 9.0
71	 9.0
;

param x5 :=1	 12.0
2	 12.0
3	 12.0
4	 12.0
5	 12.0
6	 12.0
7	 12.0
8	 12.0
9	 12.0
10	 12.0
11	 12.0
12	 12.0
13	 12.0
14	 12.0
15	 12.0
16	 12.0
17	 12.0
18	 12.0
19	 12.0
20	 12.0
21	 12.0
22	 12.0
23	 12.0
24	 13.0
25	 13.0
26	 13.0
27	 13.0
28	 13.0
29	 13.0
30	 13.0
31	 13.0
32	 13.0
33	 13.0
34	 13.0
35	 13.0
36	 13.0
37	 13.0
38	 13.0
39	 13.0
40	 13.0
41	 13.0
42	 13.0
43	 13.0
44	 13.0
45	 13.0
46	 13.0
47	 13.0
48	 13.0
49	 13.0
50	 13.0
51	 13.0
52	 13.0
53	 13.0
54	 13.0
55	 13.0
56	 13.0
57	 13.0
58	 13.0
59	 13.0
60	 13.0
61	 13.0
62	 13.0
63	 13.0
;
