70
1 <-3.5,-3.5> ---- <2,2> 
2 <-3.5,-2.5> ---- <2,3> 
3 <-3.5,-1.5> ---- <2,4> 
4 <-3.5,-0.5> ---- <2,5> 
5 <-3.5,0.5> ---- <2,6> 
6 <-3.5,1.5> ---- <2,7> 
7 <-2.5,-4.5> ---- <3,1> 
8 <-2.5,-3.5> ---- <3,2> 
9 <-2.5,-2.5> ---- <3,3> 
10 <-2.5,-1.5> ---- <3,4> 
11 <-2.5,-0.5> ---- <3,5> 
12 <-2.5,0.5> ---- <3,6> 
13 <-2.5,1.5> ---- <3,7> 
14 <-2.5,2.5> ---- <3,8> 
15 <-1.5,-4.5> ---- <4,1> 
16 <-1.5,-3.5> ---- <4,2> 
17 <-1.5,-2.5> ---- <4,3> 
18 <-1.5,-1.5> ---- <4,4> 
19 <-1.5,-0.5> ---- <4,5> 
20 <-1.5,0.5> ---- <4,6> 
21 <-1.5,1.5> ---- <4,7> 
22 <-1.5,2.5> ---- <4,8> 
23 <-0.5,-4.5> ---- <5,1> 
24 <-0.5,-3.5> ---- <5,2> 
25 <-0.5,-2.5> ---- <5,3> 
26 <-0.5,-1.5> ---- <5,4> 
27 <-0.5,-0.5> ---- <5,5> 
28 <-0.5,0.5> ---- <5,6> 
29 <-0.5,1.5> ---- <5,7> 
30 <-0.5,2.5> ---- <5,8> 
31 <-0.5,3.5> ---- <5,9> 
32 <0.5,-4.5> ---- <6,1> 
33 <0.5,-3.5> ---- <6,2> 
34 <0.5,-2.5> ---- <6,3> 
35 <0.5,-1.5> ---- <6,4> 
36 <0.5,-0.5> ---- <6,5> 
37 <0.5,0.5> ---- <6,6> 
38 <0.5,1.5> ---- <6,7> 
39 <0.5,2.5> ---- <6,8> 
40 <0.5,3.5> ---- <6,9> 
41 <1.5,-4.5> ---- <7,1> 
42 <1.5,-3.5> ---- <7,2> 
43 <1.5,-2.5> ---- <7,3> 
44 <1.5,-1.5> ---- <7,4> 
45 <1.5,-0.5> ---- <7,5> 
46 <1.5,0.5> ---- <7,6> 
47 <1.5,1.5> ---- <7,7> 
48 <1.5,2.5> ---- <7,8> 
49 <1.5,3.5> ---- <7,9> 
50 <2.5,-3.5> ---- <8,2> 
51 <2.5,-2.5> ---- <8,3> 
52 <2.5,-1.5> ---- <8,4> 
53 <2.5,-0.5> ---- <8,5> 
54 <2.5,0.5> ---- <8,6> 
55 <2.5,1.5> ---- <8,7> 
56 <2.5,2.5> ---- <8,8> 
57 <2.5,3.5> ---- <8,9> 
58 <3.5,0.5> ---- <9,6> 
59 <3.5,1.5> ---- <9,7> 
60 <3.5,2.5> ---- <9,8> 
61 <3.5,3.5> ---- <9,9> 
62 <4.5,0.5> ---- <10,6> 
63 <4.5,1.5> ---- <10,7> 
64 <4.5,2.5> ---- <10,8> 
65 <4.5,3.5> ---- <10,9> 
