0
1 <-4.5,0.5> ---- <1,6> 
2 <-4.5,1.5> ---- <1,7> 
3 <-4.5,2.5> ---- <1,8> 
4 <-3.5,-1.5> ---- <2,4> 
5 <-3.5,-0.5> ---- <2,5> 
6 <-3.5,0.5> ---- <2,6> 
7 <-3.5,1.5> ---- <2,7> 
8 <-3.5,2.5> ---- <2,8> 
9 <-3.5,3.5> ---- <2,9> 
10 <-2.5,-4.5> ---- <3,1> 
11 <-2.5,-3.5> ---- <3,2> 
12 <-2.5,-2.5> ---- <3,3> 
13 <-2.5,-1.5> ---- <3,4> 
14 <-2.5,-0.5> ---- <3,5> 
15 <-2.5,0.5> ---- <3,6> 
16 <-2.5,1.5> ---- <3,7> 
17 <-2.5,2.5> ---- <3,8> 
18 <-2.5,3.5> ---- <3,9> 
19 <-1.5,-4.5> ---- <4,1> 
20 <-1.5,-3.5> ---- <4,2> 
21 <-1.5,-2.5> ---- <4,3> 
22 <-1.5,-1.5> ---- <4,4> 
23 <-1.5,-0.5> ---- <4,5> 
24 <-1.5,0.5> ---- <4,6> 
25 <-1.5,1.5> ---- <4,7> 
26 <-1.5,2.5> ---- <4,8> 
27 <-1.5,3.5> ---- <4,9> 
28 <-0.5,-4.5> ---- <5,1> 
29 <-0.5,-3.5> ---- <5,2> 
30 <-0.5,-2.5> ---- <5,3> 
31 <-0.5,-1.5> ---- <5,4> 
32 <-0.5,-0.5> ---- <5,5> 
33 <-0.5,0.5> ---- <5,6> 
34 <-0.5,1.5> ---- <5,7> 
35 <-0.5,2.5> ---- <5,8> 
36 <-0.5,3.5> ---- <5,9> 
37 <0.5,-4.5> ---- <6,1> 
38 <0.5,-3.5> ---- <6,2> 
39 <0.5,-2.5> ---- <6,3> 
40 <0.5,-1.5> ---- <6,4> 
41 <0.5,-0.5> ---- <6,5> 
42 <0.5,0.5> ---- <6,6> 
43 <0.5,1.5> ---- <6,7> 
44 <0.5,2.5> ---- <6,8> 
45 <0.5,3.5> ---- <6,9> 
46 <1.5,-4.5> ---- <7,1> 
47 <1.5,-3.5> ---- <7,2> 
48 <1.5,-2.5> ---- <7,3> 
49 <1.5,-1.5> ---- <7,4> 
50 <1.5,-0.5> ---- <7,5> 
51 <1.5,0.5> ---- <7,6> 
52 <1.5,1.5> ---- <7,7> 
53 <1.5,2.5> ---- <7,8> 
54 <1.5,3.5> ---- <7,9> 
55 <2.5,-3.5> ---- <8,2> 
56 <2.5,-2.5> ---- <8,3> 
57 <2.5,-1.5> ---- <8,4> 
58 <2.5,-0.5> ---- <8,5> 
59 <2.5,0.5> ---- <8,6> 
60 <2.5,1.5> ---- <8,7> 
61 <2.5,2.5> ---- <8,8> 
62 <2.5,3.5> ---- <8,9> 
63 <3.5,-1.5> ---- <9,4> 
64 <3.5,-0.5> ---- <9,5> 
65 <3.5,0.5> ---- <9,6> 
66 <3.5,1.5> ---- <9,7> 
67 <3.5,2.5> ---- <9,8> 
68 <3.5,3.5> ---- <9,9> 
69 <4.5,1.5> ---- <10,7> 
70 <4.5,2.5> ---- <10,8> 
