210
1 <-5.5,1.5> ---- <0,7> 
2 <-5.5,2.5> ---- <0,8> 
3 <-4.5,0.5> ---- <1,6> 
4 <-4.5,1.5> ---- <1,7> 
5 <-4.5,2.5> ---- <1,8> 
6 <-4.5,3.5> ---- <1,9> 
7 <-3.5,-1.5> ---- <2,4> 
8 <-3.5,-0.5> ---- <2,5> 
9 <-3.5,0.5> ---- <2,6> 
10 <-3.5,1.5> ---- <2,7> 
11 <-3.5,2.5> ---- <2,8> 
12 <-3.5,3.5> ---- <2,9> 
13 <-2.5,-3.5> ---- <3,2> 
14 <-2.5,-2.5> ---- <3,3> 
15 <-2.5,-1.5> ---- <3,4> 
16 <-2.5,-0.5> ---- <3,5> 
17 <-2.5,0.5> ---- <3,6> 
18 <-2.5,1.5> ---- <3,7> 
19 <-2.5,2.5> ---- <3,8> 
20 <-2.5,3.5> ---- <3,9> 
21 <-1.5,-4.5> ---- <4,1> 
22 <-1.5,-3.5> ---- <4,2> 
23 <-1.5,-2.5> ---- <4,3> 
24 <-1.5,-1.5> ---- <4,4> 
25 <-1.5,-0.5> ---- <4,5> 
26 <-1.5,0.5> ---- <4,6> 
27 <-1.5,1.5> ---- <4,7> 
28 <-1.5,2.5> ---- <4,8> 
29 <-1.5,3.5> ---- <4,9> 
30 <-0.5,-4.5> ---- <5,1> 
31 <-0.5,-3.5> ---- <5,2> 
32 <-0.5,-2.5> ---- <5,3> 
33 <-0.5,-1.5> ---- <5,4> 
34 <-0.5,-0.5> ---- <5,5> 
35 <-0.5,0.5> ---- <5,6> 
36 <-0.5,1.5> ---- <5,7> 
37 <-0.5,2.5> ---- <5,8> 
38 <-0.5,3.5> ---- <5,9> 
39 <0.5,-4.5> ---- <6,1> 
40 <0.5,-3.5> ---- <6,2> 
41 <0.5,-2.5> ---- <6,3> 
42 <0.5,-1.5> ---- <6,4> 
43 <0.5,-0.5> ---- <6,5> 
44 <0.5,0.5> ---- <6,6> 
45 <0.5,1.5> ---- <6,7> 
46 <0.5,2.5> ---- <6,8> 
47 <0.5,3.5> ---- <6,9> 
48 <1.5,-4.5> ---- <7,1> 
49 <1.5,-3.5> ---- <7,2> 
50 <1.5,-2.5> ---- <7,3> 
51 <1.5,-1.5> ---- <7,4> 
52 <1.5,-0.5> ---- <7,5> 
53 <1.5,0.5> ---- <7,6> 
54 <1.5,1.5> ---- <7,7> 
55 <1.5,2.5> ---- <7,8> 
56 <1.5,3.5> ---- <7,9> 
57 <2.5,-4.5> ---- <8,1> 
58 <2.5,-3.5> ---- <8,2> 
59 <2.5,-2.5> ---- <8,3> 
60 <2.5,-1.5> ---- <8,4> 
61 <2.5,-0.5> ---- <8,5> 
62 <2.5,0.5> ---- <8,6> 
63 <2.5,1.5> ---- <8,7> 
64 <2.5,2.5> ---- <8,8> 
65 <2.5,3.5> ---- <8,9> 
66 <3.5,-2.5> ---- <9,3> 
67 <3.5,-1.5> ---- <9,4> 
68 <3.5,-0.5> ---- <9,5> 
69 <3.5,0.5> ---- <9,6> 
70 <3.5,1.5> ---- <9,7> 
71 <3.5,2.5> ---- <9,8> 
